A,B,C,D,E,F
31,97.2,38,698.19,33.6029,79.1634
1,37.36,23,428.16,-27.5317,-39.3193
25,85.14,19,356.36,-4.93844,-0.782172
11,57.25,37,680.51,-45.2595,-62.2943
0,35.13,35,644.47,-86.4517,-31.4658
32,99.15,12,230.35,53.7981,11.4351
5,45.56,28,518.11,-41.6028,-14.325
35,104.97,13,248.43,-8.75566,-14.5718
26,87.55,37,680.28,-62.9594,-22.9153
17,68.98,31,572.52,73.0626,37.2272
30,95.05,32,590.27,52.949,18.2318
32,99.08,5,104.3,80.8136,29.4137
1,37.17,18,338.23,18.0264,30.0008
32,99.08,5,104.33,77.9945,28.3877
10,55.09,27,500.12,-6.4322,-21.0387
37,109.48,14,266.14,51.325,43.0667
4,43.18,0,14.17,-32.6753,-12.5429
10,55.33,15,284.01,-8.28454,-3.51658
8,51.37,18,338.49,-32.7441,-24.6744
13,61.1,13,248.01,21.298,14.913
37,109.25,20,374.54,-72.4017,-38.4966
1,37.54,30,554.32,16.5482,12.9289
27,88.99,17,319.97,50.6278,21.4902
5,45.33,21,392.28,30.6983,4.31436
10,55.28,0,14.4,-51.1543,-67.884
18,71.08,7,140.28,75.3422,20.1879
14,63.43,14,266.36,-51.1543,-67.884
11,57.32,29,536.39,55.7532,15.987
32,99,8,158.32,5.35305,5.94515
2,39.34,15,284.52,57.882,22.2188
12,59.28,17,320.23,30.2838,93.2035
17,69.25,13,248.1,-3.99318,-3.00907
27,89.47,22,410.23,-15.4548,-4.1411
0,35.37,7,140.28,28.3205,36.2485
6,46.99,10,194.05,45.738,60.6963
19,73.12,30,554.53,-7.72741,-2.07055
30,95.2,31,572.08,-58.7085,-52.8613
7,49.27,34,626.4,40.4952,6.41381
29,93.05,26,482.03,11.4107,24.4703
27,89.16,26,482.55,-68.5159,-30.5052
1,37.21,8,158.05,3.88118,0.967687
8,51.52,8,158.05,85.4016,16.6004
15,65.32,18,338.48,49.6447,38.7866
34,103.4,33,608.28,12.1127,28.5356
21,76.97,37,680.12,-12.8575,-7.72557
23,81.49,16,302.26,47.8986,79.7165
20,75.31,34,626.38,-41.6795,-43.1604
39,113.34,16,302.07,-23.5,-40.7032
3,41.05,8,158.13,36.0346,57.6672
21,77.52,13,248.55,-9.92546,-1.21869
32,99.15,38,698.09,12.4356,8.38789
24,83.08,8,158.35,91.763,24.5878
34,103.25,13,248.1,1.69048,3.62523
16,67.09,10,194.51,9.81627,1.90809
8,51.19,23,428.43,34.9842,12.046
7,49.11,11,212.52,-9.64418,-19.7735
35,105,36,662.18,31.1852,15.8897
18,71.23,19,356.17,71.4048,15.1775
12,58.97,4,86.07,-32.539,-73.0836
11,57.28,36,662.5,1.17557,1.61803
36,107.22,24,446.24,-31.7794,-62.3704
38,111.15,27,500.32,42.0837,86.2842
0,35.15,34,626.13,-26.8468,-15.5
21,77.28,8,158.44,51.2917,41.5351
29,93.54,33,608.12,63.8473,35.3911
14,63.19,12,229.99,14.0518,15.606
38,111.03,25,464.09,15.7454,18.113
15,65.15,6,121.99,-42.3432,-17.9736
38,111.29,22,410.33,32.7359,35.105
8,51.05,13,248.44,0,0
15,65.02,31,572.13,20.4788,14.3394
27,89.48,0,14.34,-53.3427,-76.1811
13,61.1,11,212.54,45.9026,14.0338
38,111.32,17,320.4,-4.04509,-2.93892
34,103.04,14,266.18,8.45238,18.1261
30,95.31,32,590.39,-33.0739,-20.6668
15,65.45,14,266.35,-52.16,-13.9762
36,107.1,28,518.36,-50.6515,-77.9963
14,63.35,35,644.44,51.7251,71.1935
20,75.54,30,554.36,10.3366,3.76222
37,109.46,26,482.07,-46.3398,-61.4949
23,80.98,28,518.41,20.7436,46.5908
5,44.99,32,590.22,78.4747,57.0151
33,101.55,27,500.35,-19.0771,-30.5297
29,93.21,38,698.14,11.6843,5.69882
38,111.09,1,32.06,-20.4617,-27.1536
24,83.14,19,356.28,-81.9726,-41.7671
5,45.04,18,338.2,57.5228,28.0557
15,65.08,0,14.03,26.08,6.98811
17,69,29,536.01,77.8622,22.3266
17,69.09,13,248.28,30.2054,48.3387
25,85.46,1,32.22,-25.3395,-77.9866
25,85.03,12,230.03,-49.7157,-29.8722
6,47.24,12,230.51,1.91261,0.584743
33,101.43,11,212.26,-24.5318,-85.5523
7,49.37,9,176.19,-53.4722,-24.9345
27,89.27,29,536.29,69.9214,12.329
29,93.03,25,464.02,16.687,51.357
0,35.1,11,212.42,-14.0954,-5.1303
35,105.5,37,680.41,27.483,89.8926
30,95.46,35,644.3,0.669131,0.743144
36,107.55,7,140.34,18.3851,15.4269
10,55.3,24,446.3,-42.4353,-24.5
29,93.21,21,392.5,-6.91382,-1.09504
0,35.47,8,158.48,53.0079,10.3037
7,49.01,19,356.14,-70.309,-9.88128
13,61.51,36,662.56,26.8447,60.294
17,69.46,13,248.36,-11.5094,-11.1145
8,51.52,27,500.43,70.1481,40.5
9,53.27,8,157.97,26.41,5.61361
9,53.45,39,716,-15.9748,-5.81434
18,71.45,27,500.51,2,3.4641
21,77.09,2,50,19.0771,30.5297
31,97.15,22,410.26,33.257,7.06899
26,87.13,27,500.24,26.4735,33.8844
17,69.32,1,32.26,-62.5732,-37.5978
17,69.23,22,410.2,21.9279,71.7228
28,91.16,34,625.98,-41.8711,-59.7981
28,91.49,12,230.22,36.4777,24.6045
0,35.08,39,716.31,44.3299,47.538
32,99.34,36,662.02,52.2872,31.4173
39,113.11,34,626,80.0839,33.9936
24,83.29,23,428.27,8.5961,20.2511
13,61.56,11,212.19,-14.1272,-7.51154
16,67.02,24,446.36,2.63023,5.39276
33,101.45,13,248.14,78.8235,22.6022
1,37.18,19,356.42,36.9068,54.7164
9,53.41,38,698.39,-59.7558,-34.5
24,83.21,25,464.3,30.858,18.5414
1,37.5,21,392.32,-35.7317,-4.38729
18,71.16,18,338.52,46.5426,6.54113
